id,name,category_id
142,Терафлю 10шт.,4
143,Тайлол хот 12шт.,4
144,Фервекс лимон 8шт.,4
145,Фервекс малина 8шт.,4
146,Антигриппин ромашка 10шт.,4
147,Антигриппин китайский дейсткий 12шт.,4
148,Фурацилин 10шт.,4
149,Аскорбиновая кислота с глюкозой 10шт.,4
150,Парацетомол 0.2 10шт,4
151,таб от каш 10шт.,4
152,Стрептоцид 0.5 10 шт.,4
153,Стрептоцид 0.3 10 шт.,4
154,Анальгин 10шт.,4
155,Кальций глюконат 10 шт.,4
156,Кальций глюконат Лек 10 шт.,4
157,Антигриппин 10шт.,4
158,Антигриппин 10шт.,4
159,Парацетомал 0.5 20шт.,4
160,Аскорутин 50шт.,4
161,Гексовит 50шт.,4
162,Аскорбиновая кислота 200шт.,4
163,Ацетилсалициловя кислота 10шт,4
164,Аскорбиновая кислота с сахаром 10шт.,4
165,Аскорбиновая кислота банан 10шт.,4
166,Аскорбиновая кислота лимон 10шт.,4
167,Аскорбиновая кислота клубника 10шт.,4
168,Цитромон П 10шт.,4
